exceedance_probability,return_period_years,insured_loss_threshold
0.0286,34.96503496503497,1365169884.2785985
0.0287,34.84320557491289,1362910192.5074995
0.0288,34.72222222222222,1359986039.6308703
0.0289,34.602076124567475,1357953972.3667693
0.029,34.48275862068965,1344542412.8568408
0.0291,34.36426116838488,1339518611.6870806
0.0292,34.24657534246575,1338443241.1658993
0.0293,34.129692832764505,1325187193.869001
0.0294,34.013605442176875,1323640284.1148689
0.0295,33.898305084745765,1316730607.8496723
0.0296,33.78378378378378,1301662169.7117622
0.0297,33.67003367003367,1299086793.260705
0.0298,33.557046979865774,1298842482.132754
0.0299,33.44481605351171,1292542388.371463
0.03,33.333333333333336,1292227587.5786676
0.0301,33.222591362126245,1287055381.4079983
0.0302,33.11258278145695,1283308803.560698
0.0303,33.003300330033,1279832233.214487
0.0304,32.89473684210526,1276349753.090762
0.0305,32.78688524590164,1273341571.4146976
0.0306,32.67973856209151,1273115600.4003346
0.0307,32.57328990228013,1270340779.4690838
0.0308,32.467532467532465,1264695292.944575
0.0309,32.362459546925564,1263676481.5692503
0.031,32.25806451612903,1258694157.7207208
0.0311,32.154340836012864,1258077021.2499552
0.0312,32.05128205128205,1253916181.3248072
0.0313,31.948881789137378,1234733337.0426872
0.0314,31.847133757961785,1225907161.204458
0.0315,31.746031746031747,1216838003.337622
0.0316,31.645569620253163,1213006127.6945107
0.0317,31.545741324921135,1210404460.999815
0.0318,31.446540880503143,1206308406.964224
0.0319,31.347962382445143,1204880566.0063934
0.032,31.25,1203670616.9972434
0.0321,31.152647975077883,1192777320.2208195
0.0322,31.055900621118013,1191298269.986708
0.0323,30.959752321981423,1178671647.9576852
0.0324,30.8641975308642,1173334290.982015
0.0325,30.769230769230766,1165388508.071648
0.0326,30.674846625766875,1152504429.4725404
0.0327,30.581039755351682,1148470342.576771
0.0328,30.487804878048777,1147399579.9766765
0.0329,30.395136778115504,1144095655.9188986
0.033,30.3030303030303,1135559094.088202
0.0331,30.211480362537767,1134785563.8609905
0.0332,30.12048192771084,1130961128.8655627
0.0333,30.030030030030026,1130856253.5818357
0.0334,29.940119760479043,1122307084.6504579
0.0335,29.850746268656714,1118149081.6401296
0.0336,29.761904761904763,1118012924.6167836
0.0337,29.673590504451038,1113089989.4002807
0.0338,29.58579881656805,1109785285.5066388
0.0339,29.498525073746315,1109207081.8395617
0.034,29.41176470588235,1096224124.8520901
0.0341,29.32551319648094,1088052468.6674335
0.0342,29.239766081871345,1087494100.5181422
0.0343,29.15451895043732,1085919196.6895962
0.0344,29.069767441860463,1083744631.9691796
0.0345,28.98550724637681,1083154820.2912624
0.0346,28.901734104046245,1074598253.3453324
0.0347,28.81844380403458,1074567442.6002324
0.0348,28.73563218390805,1062786748.841279
0.0349,28.653295128939828,1045853682.6813387
0.035,28.57142857142857,1037552340.5154601
0.0351,28.49002849002849,1037409817.9670775
0.0352,28.409090909090907,1035013450.4740094
0.0353,28.328611898016998,1033050135.6680274
0.0354,28.248587570621467,1030149763.1903713
0.0355,28.169014084507044,1025075579.0779502
0.0356,28.08988764044944,1017280572.5588973
0.0357,28.011204481792713,1016318757.3314722
0.0358,27.932960893854748,1010549893.7697417
0.0359,27.855153203342617,1008433350.6607078
0.036,27.77777777777778,1008196072.6326894
0.0361,27.700831024930746,1002170610.848719
0.0362,27.62430939226519,995318387.5412043
0.0363,27.548209366391184,986952944.8374668
0.0364,27.47252747252747,985541692.0261363
0.0365,27.397260273972606,984335688.139628
0.0366,27.3224043715847,981793787.5820333
0.0367,27.247956403269754,976128606.5282735
0.0368,27.17391304347826,975951667.0707359
0.0369,27.100271002710027,975919427.2700074
0.037,27.027027027027028,966157915.91447
0.0371,26.954177897574123,965425019.5440595
0.0372,26.881720430107528,961994392.0902152
0.0373,26.80965147453083,961197957.4563735
0.0374,26.7379679144385,958182443.6655607
0.0375,26.666666666666668,957838812.8058889
0.0376,26.595744680851062,952942317.8390596
0.0377,26.525198938992045,946486682.0340378
0.0378,26.455026455026456,946198482.8629875
0.0379,26.38522427440633,944709141.2449515
0.038,26.315789473684212,944442691.3256601
0.0381,26.246719160104984,940933322.0782388
0.0382,26.17801047120419,940678767.2652127
0.0383,26.109660574412533,940344352.4601808
0.0384,26.041666666666668,940029047.8550067
0.0385,25.974025974025974,938635211.3057142
0.0386,25.906735751295336,938404618.499141
0.0387,25.839793281653748,936690729.640575
0.0388,25.77319587628866,934810342.7701832
0.0389,25.706940874035993,934058679.6420805
0.039,25.641025641025642,928793181.6591753
0.0391,25.57544757033248,926882143.8163139
0.0392,25.510204081632654,921930682.2446352
0.0393,25.44529262086514,920545707.4309423
0.0394,25.38071065989848,916778943.1739789
0.0395,25.31645569620253,912521323.6034895
0.0396,25.25252525252525,903713776.5916278
0.0397,25.188916876574307,903065094.0566934
0.0398,25.125628140703515,894882706.2322114
0.0399,25.06265664160401,886465441.1965702
0.04,25.0,886167249.7615587
0.0401,24.93765586034913,881675635.393216
0.0402,24.875621890547265,879570198.1976526
0.0403,24.813895781637715,877657622.9116439
0.0404,24.752475247524753,877006810.6199356
0.0405,24.691358024691358,876394684.4726304
0.0406,24.630541871921185,873952221.786491
0.0407,24.57002457002457,871533999.5998435
0.0408,24.509803921568626,861001641.0471551
0.0409,24.449877750611247,848484782.3927693
0.041,24.390243902439025,842680276.295871
0.0411,24.330900243309003,838202659.7437743
0.0412,24.271844660194173,833412794.5796906
